level_0,Date,1_Day_returns,5_Day_returns,10_Day_returns,1_Day_binary,5_Day_binary,10_Day_binary
AMZN,2016-01-19,-1.1959720621138152,-0.5717455356909718,-1.1310332174755726,0,0,0
AMZN,2016-01-20,-1.6255080212176856,-20.423697663211986,-0.0609924057257758,0,0,0
AMZN,2016-01-21,-2.2049633828331485,-1.0973433803926225,-4.160240754119332,0,0,0
AMZN,2016-01-22,5.5351566777989,0.931385576819163,-1.9510610218997813,1,1,0
AMZN,2016-01-25,-0.9932279387165965,-1.0065369893726195,-1.1718313615365172,0,0,0
AMZN,2016-01-26,30.45343831424174,0.04918420398681356,-0.550682180760133,1,1,0
AMZN,2016-01-27,-4.762630242754091,5.311177606412837,-123.58640572579682,0,1,0
AMZN,2016-01-28,-3.994164284765227,14.682387409566655,-2.52657660307392,0,1,0
AMZN,2016-01-29,-1.8537074707897416,-3.048638150765085,-4.9567101765091675,0,0,0
AMZN,2016-02-01,-0.727113249524076,-83.55185304264215,-0.4603594139702112,0,0,0
AMZN,2016-02-02,0.9025126360458966,-5.9932837858148424,-6.238874474100408,1,0,0
AMZN,2016-02-03,-0.03588764567589586,0.27944716221347554,7.07481827875014,0,1,1
AMZN,2016-02-04,-1.2565635155735768,-0.8903669168728112,0.7193084825057987,0,0,1
AMZN,2016-02-05,-7.5124612384323255,-0.16366995868601109,-2.7133376292667775,0,0,0
AMZN,2016-02-08,-0.5609838254956859,0.3454754205558104,-112.07148919021041,0,1,0
AMZN,2016-02-09,-0.5578527263815262,-0.6873091523030128,-2.5613541397780644,0,0,0
AMZN,2016-02-10,-2.412139696836299,-1.4579996894447733,-1.5859864029547683,0,0,0
AMZN,2016-02-11,0.5590079314647283,1.7830346292866297,-0.6948873331415741,1,1,0
AMZN,2016-02-12,-0.7620942010388063,-1.1016666438043146,-1.085026868413117,0,0,0
AMZN,2016-02-16,3.2729890268146624,-1.9895317726263924,-2.331390677927832,1,0,0
AMZN,2016-02-17,-0.09769971128090216,-3.0193606461270495,-1.6314355922434027,0,0,0
AMZN,2016-02-18,-1.682960159063339,-1.9766334528906402,-0.5527021818747102,0,0,0
AMZN,2016-02-19,-2.106774878871433,-0.30666589328427507,0.9295728286553742,0,0,1
AMZN,2016-02-22,1.4388500340864132,6.1075943385168925,-1.7226052619195604,1,1,0
AMZN,2016-02-23,-1.2549420821924469,-1.4240649551565858,-0.5803742532151719,0,0,0
AMZN,2016-02-24,-1.169668589350703,-0.9202588055949447,-1.161026229856735,0,0,0
AMZN,2016-02-25,0.007151927381908507,-1.1175932396216668,-0.8851545083516951,1,0,0
AMZN,2016-02-26,-0.9281145544305014,-0.9923622747610752,-0.9947045045941298,0,0,0
AMZN,2016-02-29,-34.88824898098452,-1.1061275317988102,-1.7543114441739944,0,0,0
AMZN,2016-03-01,-10.83410178929579,-5.093749220924599,0.7360155797936989,0,0,1
AMZN,2016-03-02,-0.9579012885983714,0.01575411018546613,-0.9190025540319667,0,1,0
AMZN,2016-03-03,-3.3200381222530795,-3.3398537940462347,-0.7248490121170548,0,0,0
AMZN,2016-03-04,-0.13197917620251753,-29.25386699328548,-1.2157952730318424,0,0,0
AMZN,2016-03-07,4.2725855031675986,3.3959465005351426,-1.4665309520214114,1,1,0
AMZN,2016-03-08,-0.7896544350023577,-1.09402667067784,-0.6150783901664583,0,0,0
AMZN,2016-03-09,-0.6875481789896007,-1.6978551955321777,-1.7088492831760913,0,0,0
AMZN,2016-03-10,-0.3155521453323372,-0.794121705643862,-1.481725108160977,0,0,0
AMZN,2016-03-11,-20.797676931971875,-5.695638453852552,131.6699443237067,0,0,1
AMZN,2016-03-14,-0.6545399441038331,-1.3076584574610606,-2.3524501194359893,0,0,0
AMZN,2016-03-15,-0.035617261899301145,-2.410538442345863,-0.867371766403112,0,0,0
AMZN,2016-03-16,-1.7486537522331025,2.3797367354633505,-3.35856684037406,0,1,0
AMZN,2016-03-17,4.418557605810752,25.756308853470006,4.508543230018439,1,1,1
AMZN,2016-03-18,-0.4905542713425317,-1.6885094300143548,2.232991355415507,0,0,1
AMZN,2016-03-21,-1.261589175779905,-0.47864706428380555,-1.1603986399952397,0,0,0
AMZN,2016-03-22,2.4093852951241135,0.8431406560648937,-3.599820750030107,1,1,0
AMZN,2016-03-23,0.39137072696748376,-4.425471316857637,-12.577191245859773,1,0,0
AMZN,2016-03-24,0.4323510086447788,-1.9054950879405963,-25.227706238238582,1,0,0
AMZN,2016-03-28,-1.2259488859042582,-0.5983956782774045,-1.2765083626405258,0,0,0
AMZN,2016-03-29,-5.566305499174681,6.010412480970402,2.6548991275353693,0,1,1
AMZN,2016-03-30,-0.6628851917409899,-0.30682112616641777,0.27762616428795295,0,0,1
AMZN,2016-03-31,-2.0371073646561637,-1.5166853816478736,0.7698909546744319,0,0,1
AMZN,2016-04-01,-1.9705624182191124,-0.6498934894840498,-1.3170197255282157,0,0,0
AMZN,2016-04-04,-2.083723207045547,0.6792229307324087,-0.3256168138821819,0,1,0
AMZN,2016-04-05,0.3395668002926324,-1.4926151543530748,-4.453435426391955,1,0,0
AMZN,2016-04-06,-3.2881920406085876,2.3436623003752306,1.317756067853907,0,1,1
AMZN,2016-04-07,-1.650443199332183,1.097046533714967,-2.083513288605868,0,1,0
AMZN,2016-04-08,-1.303010156751477,-0.34530084107103687,-0.7707855620296532,0,0,0
AMZN,2016-04-11,-0.5826708140116784,-1.252117021474451,-1.4233606836878532,0,0,0
AMZN,2016-04-12,4.431382671610259,-2.0222289932500472,-0.4964345067059398,1,0,0
